#	 Module 	 Chip 	 Chn 	 CellID1 	 I 	 J 	 K 	 CellID0
5	0	1	1029	1	12	1	393472
1	1	1	1089	13	8	1	262912
2	1	1	1090	19	14	1	459136
4	1	1	1092	20	1	1	33856
5	1	1	1093	2	25	1	819392
1	2	1	1153	7	17	1	558208
2	2	1	1154	13	23	1	754432
4	2	1	1156	10	4	1	132800
5	2	1	1157	4	25	1	819264
1	3	1	1217	7	11	1	361600
2	3	1	1218	13	17	1	557824
4	3	1	1220	2	1	1	35008
5	3	1	1221	3	12	1	393344
2	4	1	1282	19	8	1	262528
2	5	1	1346	19	2	1	65920
2	6	1	1410	13	11	1	361216
2	7	1	1474	13	5	1	164608
2	8	1	1538	7	20	1	656512
2	9	1	1602	7	14	1	459904
2	10	1	1666	1	23	1	755200
2	11	1	1730	1	17	1	558592
2	12	1	1794	7	8	1	263296
2	13	1	1858	7	2	1	66688
2	14	1	1922	1	11	1	361984
2	15	1	1986	1	5	1	165376
1	0	2	2049	13	15	1	492288
2	0	2	2050	19	21	1	688512
4	0	2	2052	28	4	1	131648
5	0	2	2053	1	13	1	426240
1	1	2	2113	13	9	1	295680
2	1	2	2114	19	15	1	491904
4	1	2	2116	21	1	1	33792
5	1	2	2117	2	24	1	786624
1	2	2	2177	7	16	1	525440
2	2	2	2178	13	22	1	721664
4	2	2	2180	11	4	1	132736
5	2	2	2181	4	24	1	786496
1	3	2	2241	7	10	1	328832
2	3	2	2242	13	16	1	525056
4	3	2	2244	3	1	1	34944
5	3	2	2245	3	13	1	426112
2	4	2	2306	19	9	1	295296
2	5	2	2370	19	3	1	98688
2	6	2	2434	13	10	1	328448
2	7	2	2498	13	4	1	131840
2	8	2	2562	7	21	1	689280
2	9	2	2626	7	15	1	492672
2	10	2	2690	1	22	1	722432
2	11	2	2754	1	16	1	525824
2	12	2	2818	7	9	1	296064
2	13	2	2882	7	3	1	99456
2	14	2	2946	1	10	1	329216
2	15	2	3010	1	4	1	132608
1	0	3	3073	13	16	1	525056
2	0	3	3074	19	22	1	721280
4	0	3	3076	29	4	1	131584
5	0	3	3077	1	14	1	459008
1	1	3	3137	13	10	1	328448
2	1	3	3138	19	16	1	524672
4	1	3	3140	22	1	1	33728
5	1	3	3141	2	23	1	753856
1	2	3	3201	7	15	1	492672
2	2	3	3202	13	21	1	688896
4	2	3	3204	12	4	1	132672
5	2	3	3205	4	23	1	753728
1	3	3	3265	7	9	1	296064
2	3	3	3266	13	15	1	492288
4	3	3	3268	4	1	1	34880
5	3	3	3269	3	14	1	458880
2	4	3	3330	19	10	1	328064
2	5	3	3394	19	4	1	131456
2	6	3	3458	13	9	1	295680
2	7	3	3522	13	3	1	99072
2	8	3	3586	7	22	1	722048
2	9	3	3650	7	16	1	525440
2	10	3	3714	1	21	1	689664
2	11	3	3778	1	15	1	493056
2	12	3	3842	7	10	1	328832
2	13	3	3906	7	4	1	132224
2	14	3	3970	1	9	1	296448
2	15	3	4034	1	3	1	99840
1	0	4	4097	13	17	1	557824
2	0	4	4098	19	23	1	754048
4	0	4	4100	30	4	1	131520
5	0	4	4101	1	15	1	491776
1	1	4	4161	13	11	1	361216
2	1	4	4162	19	17	1	557440
4	1	4	4164	23	1	1	33664
5	1	4	4165	2	22	1	721088
1	2	4	4225	7	14	1	459904
2	2	4	4226	13	20	1	656128
4	2	4	4228	13	4	1	132608
5	2	4	4229	4	22	1	720960
1	3	4	4289	7	8	1	263296
2	3	4	4290	13	14	1	459520
4	3	4	4292	5	1	1	34816
5	3	4	4293	3	15	1	491648
2	4	4	4354	19	11	1	360832
2	5	4	4418	19	5	1	164224
2	6	4	4482	13	8	1	262912
2	7	4	4546	13	2	1	66304
2	8	4	4610	7	23	1	754816
2	9	4	4674	7	17	1	558208
