module  chip    chan    mip
3	4	8	441.755
3	4	6	231.472
3	4	11	282.917
3	4	9	265.33
3	4	7	379.768
3	4	14	343.856
3	4	12	290.452
3	4	17	163.558
3	4	15	264.812
3	4	13	186.945
3	5	2	335.87
3	5	0	249.509
3	5	5	133.15
3	5	3	212.364
3	5	1	193.727
3	5	8	265.122
3	5	6	999
3	5	11	302.67
3	5	9	999
3	5	7	222.58
5	10	3	999
5	10	5	214.105
5	10	0	242.734
5	10	2	214.71
5	10	4	256.443
5	10	9	206.821
5	10	11	186.005
5	10	6	142.964
5	10	8	193.807
5	10	10	202.523
5	10	15	196.874
5	10	17	160.115
5	10	12	161.09
5	10	14	244.472
5	10	16	160.566
5	11	3	154.124
5	11	5	183.434
5	11	0	215.038
5	11	2	80.0543
5	11	4	999
1	1	14	410.181
1	1	12	458.452
1	1	17	432.267
1	1	15	394.519
1	1	13	464.788
1	2	2	233.029
1	2	0	360.79
1	2	5	440.067
1	2	3	369.512
1	2	1	457.159
1	2	8	334.354
1	2	6	368.503
1	2	11	388.032
1	2	9	316.713
1	2	7	453.538
1	2	14	498.332
1	2	12	331.048
1	2	17	491.541
1	2	15	353.369
1	2	13	370.606
7	7	9	154.655
7	7	7	192.559
7	7	10	207.366
7	7	8	195.642
7	7	6	216.687
7	7	15	241.64
7	7	13	174.36
7	7	16	163.988
7	7	14	182.755
7	7	12	208.307
7	8	3	64.6008
7	8	1	147.563
7	8	4	158.209
7	8	2	161.491
7	8	0	184.963
7	8	9	206.695
7	8	7	279.208
7	8	10	232.332
7	8	8	226.361
7	8	6	175.307
4	3	2	391.637
4	3	4	413.269
4	3	1	210.139
4	3	3	294.49
4	3	5	289.351
4	3	8	492.175
4	3	6	280.183
4	3	11	238.64
4	3	9	407.068
4	3	7	307.654
4	3	14	263.238
4	3	12	367.277
4	3	17	464.009
4	3	15	311.258
4	3	13	246.286
4	4	2	510.446
4	4	0	355.824
4	4	5	375.171
4	4	3	268.8
4	4	1	229.253
6	8	15	182.589
6	8	13	213.021
6	8	16	208.496
6	8	14	173.313
6	8	12	180.985
6	9	3	161.893
6	9	5	250.311
6	9	0	273.065
6	9	2	206.961
6	9	4	242.297
6	9	9	162.164
6	9	11	192.062
6	9	6	165.17
6	9	8	217.032
6	9	10	142.563
6	9	15	265.514
6	9	17	209.433
6	9	12	223.419
6	9	14	999
6	9	16	182.457
2	0	2	350.566
2	0	4	212.964
2	0	1	143.346
2	0	3	310.367
2	0	5	232.434
