slot	fe  pos(layer)  orient(0=vertical_1=horizontal) mod(cassete)
12	4	1	0	             	      	 3
12	4	2	1	             	      	 5
12	4	3	0	             	      	 1
12	4	4	1	             	      	 7
12	4	5	0	             	      	 4
12	4	6	1	             	      	 6
12	4	7	0	             	      	 2
12	4	8	1	             	      	 8
12	2	9	0	             	      	 14
12	2	10	1	             	      	 10
12	2	11	0	             	      	 15
12	2	12	1	             	      	 11
12	2	13	0	             	      	 13
12	2	14	1	             	      	 12
12	2	15	0	             	      	 16
12	2	16	1	             	      	 9
